Method,Accuracy,F1 (macro),F1 (weighted),Precision,Recall,Pred Time (ms),Time Speedup,Avg Speedup,Speedup vs O3,% Improved,Size Reduction %,Adaptability
Random Forest,0.6889,0.484,0.6411,0.5923,0.483,1.004,-,,,,,
XGBoost,0.687,0.4581,0.6352,0.5788,0.4364,1.252,-,,,,,
DNN,0.7167,0.5868,0.7073,0.5995,0.5903,1.7619999999999998,-,,,,,
Ensemble,0.7204,0.5611,0.7068,0.5905,0.5788,3.398,-,,,,,
Base Paper (DT),0.6907,0.4098,0.677,0.4575,0.4011,0.001,-,,,,,
Base Paper (KNN),0.6611,0.4302,0.6579,0.4464,0.4264,0.683,-,,,,,
Our Approach (Ensemble),0.7204,0.5611,0.7068,0.5905,0.5788,3.1549462565669306,1.1362173535072913,1.0033133333333335,0.7830950150880261,0.0,28.28054038798256,0.43333333333333335
-O0,,,,,,,,1.0,-,-,,
-O1,,,,,,,,1.1284366666666668,-,-,,
-O2,,,,,,,,1.2579566666666664,-,-,,
-O3,,,,,,,,1.28299,-,-,,
